Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
angas,amas,amas,7,"(0, 1, 0)",1,5
arpha,alpha,alpha,7,"(0, 1, 0)",1,5
aribi,alibi,alibi,7,"(0, 1, 0)",1,5
adiew,adieu,adieu,6,"(0, 1, 0)",1,5
vrirle,vrille,vrille,7,"(0, 1, 0)",1,6
vouage,voyage,voyage,6,"(0, 1, 0)",1,6
véleux,véreux,véreux,6,"(0, 1, 0)",1,6
vegnge,venge,venger,6,"(0, 1, 0)",1,6
vautle,vautre,vautrer,7,"(0, 1, 0)",1,6
acelbe,acerbe,acerbe,7,"(0, 1, 0)",1,6
accloc,accroc,accroc,6,"(0, 1, 0)",1,6
accold,accord,accord,6,"(0, 1, 0)",1,6
acajoy,acajou,acajou,4,"(0, 1, 0)",1,6
absoly,absolu,absolu,6,"(0, 1, 0)",1,6
abrwpt,abrupt,abrupt,7,"(0, 1, 0)",1,6
jockeu,jockey,jockey,6,"(0, 1, 0)",1,6
zyewte,zyeute,zyeuter,7,"(0, 1, 0)",1,6
patawd,pataud,pataud,6,"(0, 1, 0)",1,6
paster,pastel,pastel,7,"(0, 1, 0)",1,6
palvis,parvis,parvis,7,"(0, 1, 0)",1,6
parore,parole,parole,6,"(0, 1, 0)",1,6
parnge,parme,parme,7,"(0, 1, 0)",1,6
parfym,parfum,parfum,6,"(0, 1, 0)",1,6
paldon,pardon,pardon,6,"(0, 1, 0)",1,6
paramo,parano,parano,7,"(0, 1, 0)",1,6
palaît,paraît,parer,7,"(0, 1, 0)",1,6
paqwet,paquet,paquet,7,"(0, 1, 0)",1,6
papiel,papier,papier,6,"(0, 1, 0)",1,6
pangne,panne,panne,6,"(0, 1, 0)",1,6
pamini,panini,panini,6,"(0, 1, 0)",1,6
paniel,panier,panier,5,"(0, 1, 0)",1,6
pangda,panda,panda,6,"(0, 1, 0)",1,6
pamard,panard,panard,6,"(0, 1, 0)",1,6
pamama,panama,panama,6,"(0, 1, 0)",1,6
palgne,palme,palme,7,"(0, 1, 0)",1,6
paliel,palier,palier,6,"(0, 1, 0)",1,6
parais,palais,palais,7,"(0, 1, 0)",1,6
peigns,peins,peindre,7,"(0, 1, 0)",1,6
pédamt,pédant,pédant,7,"(0, 1, 0)",1,6
pécure,pécule,pécule,7,"(0, 1, 0)",1,6
payvre,pauvre,pauvre,7,"(0, 1, 0)",1,6
pâtyre,pâture,pâture,6,"(0, 1, 0)",1,6
patlon,patron,patron,6,"(0, 1, 0)",1,6
patlie,patrie,patrie,7,"(0, 1, 0)",1,6
patign,patin,patin,7,"(0, 1, 0)",1,6
parace,palace,palace,7,"(0, 1, 0)",1,6
pairle,paille,paille,7,"(0, 1, 0)",1,6
